"PLU","CATEGORY","COMMODITY","VARIETY","ADDITIONAL VARIETY INFO","SIZE","NA SIZE","ROW SIZE","RESTRICTIONS","NOTES","AKA","TRADEMARK","BOTANICAL NAME","REVISION DATE","DATE ADDED","GPC","IMAGE"
"4411","","PEARS","Bosc/Beurre Bosc","","Small","110 size and smaller","Average Fruit Weight =  less than 180g","Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4412","","PEARS","Bosc/Beurre Bosc","","Large","100 size and larger","Average Fruit Weight =  185g and above","Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4413","","PEARS","Bosc/Beurre Bosc","","Large","100 size and larger","Average Fruit Weight =  185g and above","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4414","","PEARS","Comice/ Doyenne du Comice","","","","","","all sizes; refer to plu master list","","","Pyrus spp.","2009-06-16 00:00:00","2009-06-16 00:00:00","10005903",""
"4415","","PEARS","Red","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4416","","PEARS","Anjou","","Large","100 size and larger","Average Fruit Weight =  180g and above","","AKA D'Anjou","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4417","","PEARS","Anjou","Red","","","","","AKA D'Anjou","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4418","","PEARS","Forelle/Corella","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4419","","PEARS","French","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4420","","PEARS","King Royal","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4421","","PEARS","Packham/Packhams Triumph","","","","","","all sizes; refer to PLU master list comments","","","Pyrus spp.","2009-06-16 00:00:00","2009-06-16 00:00:00","10005903",""
"4422","","PEARS","Seckel","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4423","","PEARS","Tree Ripened","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4424","","PEARS","Winter Nelis/Honey","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4425","","PEARS","Retailer Assigned","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4426","","PEARS","Retailer Assigned","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4427","","PERSIMMON","Regular (American Persimmon)","","","","","","","","","Diospyros spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005948",""
"4428","","PERSIMMON","Japanese/Sharonfruit (Kaki)","","","","","","","","","Diospyros spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005946",""
"4429","","PERSIMMON","Retailer Assigned","","","","","","","","","Diospyros spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
